provincia,anio,denuncias,victimas,ordenes_proteccion,quebrantamientos,poblacion_total,poblacion_mujeres,renta_media_hogar,renta_media_persona,tasa_actividad_total,tasa_actividad_hombres,tasa_actividad_mujeres,tasa_empleo_total,tasa_empleo_hombres,tasa_empleo_mujeres,tasa_paro_total,tasa_paro_hombres,tasa_paro_mujeres
MELILLA,2024,407.0,407.0,95.0,32.0,85985.0,42733.0,,,,,,,,,,,
MURCIA,2024,6811.0,5984.0,1374.0,706.0,1568492.0,782454.0,,,,,,,,,,,
NAVARRA,2024,193.0,193.0,45.0,7.0,678333.0,342414.0,,,,,,,,,,,
OURENSE,2024,194.0,190.0,62.0,20.0,304467.0,158286.0,,,,,,,,,,,
PALENCIA,2024,38.0,38.0,18.0,2.0,158063.0,79720.0,,,,,,,,,,,
PONTEVEDRA,2024,757.0,709.0,221.0,82.0,947869.0,490545.0,,,,,,,,,,,
SALAMANCA,2024,84.0,80.0,33.0,20.0,327552.0,168858.0,,,,,,,,,,,
SANTA CRUZ DE TENERIFE,2024,5127.0,5045.0,827.0,152.0,1078864.0,549891.0,,,,,,,,,,,
SEGOVIA,2024,56.0,53.0,29.0,3.0,156620.0,78111.0,,,,,,,,,,,
SEVILLA,2024,2345.0,2247.0,712.0,220.0,1968624.0,1008359.0,,,,,,,,,,,
SORIA,2024,38.0,38.0,25.0,0.0,90073.0,44340.0,,,,,,,,,,,
TARRAGONA,2024,1943.0,1823.0,506.0,184.0,861744.0,431167.0,,,,,,,,,,,
TERUEL,2024,164.0,164.0,55.0,29.0,135309.0,66688.0,,,,,,,,,,,
TOLEDO,2024,429.0,397.0,130.0,63.0,743165.0,369542.0,,,,,,,,,,,
VALENCIA,2024,3675.0,3196.0,703.0,270.0,2710808.0,1385359.0,,,,,,,,,,,
VALLADOLID,2024,198.0,198.0,73.0,6.0,525116.0,269582.0,,,,,,,,,,,
ZAMORA,2024,69.0,69.0,28.0,12.0,166253.0,83806.0,,,,,,,,,,,
ZARAGOZA,2024,404.0,340.0,114.0,58.0,987763.0,504101.0,,,,,,,,,,,
